# portID	slaveID	chipID	channelID	baseline_T	baseline_E	zero_T1	zero_T2	zero_E	noise_T1	noise_T2	noise_E
0	0	8	0	47	4	49.8673	60.1896	56.092	3.5949	0.748537	0.215792
0	0	8	1	41	4	48.2463	59.6825	56.4035	4.47571	0.931452	0.0823854
0	0	8	2	42	7	43.8336	60.1941	59.2409	3.55997	0.713732	0.0503296
0	0	8	3	51	4	47.2433	59.9126	57.3859	4.09002	0.830031	0.236586
0	0	8	4	46	5	52.4834	59.8514	59.7093	4.31318	0.840136	0.32338
0	0	8	5	42	5	40.768	59.7244	60.3255	3.52439	0.756619	0.401609
0	0	8	6	44	6	48.5669	59.8476	60.0626	4.62189	0.913305	0.0858446
0	0	8	7	39	5	45.408	61.4077	58.1254	5.14567	0.0513612	0.266367
0	0	8	8	46	6	49.5368	59.6513	60.2206	4.97418	0.993195	0.188135
0	0	8	9	43	6	44.3635	59.7967	61.0672	4.60904	0.939313	0.0502716
0	0	8	10	43	5	42.1323	59.7087	60.4197	5.25329	1.02334	0.484954
0	0	8	11	42	7	44.2363	58.8736	61.1334	6.44725	1.29156	0.0526517
0	0	8	12	47	5	46.4716	59.9766	60.2536	3.6479	0.717921	0.388851
0	0	8	13	43	5	46.2327	59.6813	59.7413	5.21582	1.01994	0.40158
0	0	8	14	43	4	40.1772	59.6803	56	4.73914	0.917022	0.268398
0	0	8	15	42	7	47.8086	59.813	59.5509	4.85718	0.958065	0.131296
0	0	8	16	37	7	36.8735	58.1687	59.307	9.56081	1.8683	0.160146
0	0	8	17	51	5	46.0243	61.3497	59.2613	0.855196	0.0510673	0.0501376
0	0	8	18	38	6	41.7896	58.7948	60.7108	8.15068	1.58836	0.400379
0	0	8	19	45	5	50.5314	61.368	59.1398	0.741242	0.0529714	0.0503838
0	0	8	20	58	4	60.1352	61.349	57.1468	0.61866	0.0521075	0.0680084
0	0	8	21	50	5	46.8205	61.3841	60.0513	0.762152	0.0501635	0.0608632
0	0	8	22	49	4	51.4152	61.2797	57.008	0.564859	0.078846	0.0507509
0	0	8	23	42	5	42.2823	61.2591	61.3867	0.641245	0.103164	0.0509468
0	0	8	24	36	5	38.3048	59.9217	59.2682	4.30111	0.862015	0.0725879
0	0	8	25	44	7	43.7761	60.0913	58.15	4.41096	0.861379	0.125475
0	0	8	26	47	7	49.4181	60.1088	60.2003	3.49499	0.682224	0.0510818
0	0	8	27	42	7	47.1233	59.791	60.2242	4.42172	0.861948	0.0501695
0	0	8	28	41	7	49.337	59.8523	60.22	4.80284	0.945355	0.0513386
0	0	8	29	43	5	42.5737	60.2757	59.259	3.30082	0.656857	0.112689
0	0	8	30	38	5	39.4622	59.4116	59.0248	5.50033	1.09406	0.425493
0	0	8	31	47	4	49.1588	59.8549	56.1221	4.80979	0.926664	0.277042
0	0	8	32	43	5	48.0668	60.0826	59.607	4.22204	0.824709	0.200602
0	0	8	33	43	5	40.2793	59.8089	58.278	4.5112	0.891339	0.259688
0	0	8	34	39	7	46.494	59.4956	60.2151	0.0576638	1.06701	0.0539165
0	0	8	35	45	7	42.4782	59.7374	60.0069	5.27546	1.01025	0.0979852
0	0	8	36	41	7	44.1986	59.5905	60.0854	4.46314	0.866815	0.0776774
0	0	8	37	46	5	46.5491	59.234	59	5.74813	1.05615	0.195047
0	0	8	38	42	5	37.8442	59.6128	58.5437	5.42365	1.03831	0.306339
0	0	8	39	32	5	40.0602	58.2571	59.873	7.15957	1.41037	0.533933
0	0	8	40	46	6	46.6652	59.4586	61.3267	5.79426	1.11418	0.0681374
0	0	8	41	40	5	42.9652	59.7888	59.3616	4.71181	0.911871	0.0672049
0	0	8	42	45	5	49.4826	61.2187	60.0067	0.615343	0.144309	0.0625995
0	0	8	43	50	5	58.8047	61.3254	59.1276	0.605121	0.0565768	0.0721617
0	0	8	44	47	4	47.8335	59.4917	57.6082	6.03338	1.17162	0.477046
0	0	8	45	41	7	46.5753	58.7359	60.2058	8.05616	1.57478	0.0715458
0	0	8	46	34	5	36.8393	57.9318	59.276	10.5122	2.0155	0.673935
0	0	8	47	39	7	35.9231	57.2454	58.5496	11.8838	2.24129	0.0533033
0	0	8	48	35	7	28.9992	57.4059	60.061	11.6755	2.22269	0.0850792
0	0	8	49	39	5	37.1522	59.308	59.4821	6.47306	1.22968	0.442397
0	0	8	50	41	7	42.1304	59.9429	60.2493	4.03687	0.834112	0.050428
0	0	8	51	44	5	48.8612	61	59.3017	0.883605	0.199583	0.0514756
0	0	8	52	51	7	51.6295	61.3602	61.228	0.838034	0.0506994	0.0523364
0	0	8	53	48	5	54.5537	61.3026	60.3249	0.71988	0.0648617	0.0502145
0	0	8	54	47	7	48.613	61.3638	59.078	0.800486	0.0551084	0.0501415
0	0	8	55	49	7	55.4632	61.3349	59.3563	0.658963	0.0517175	0.0560344
0	0	8	56	50	6	60.1389	61.3628	61.0606	0.565927	0.0514531	0.0509489
0	0	8	57	42	5	47.2153	59.5912	58.7569	5.31465	1.02398	0.335493
0	0	8	58	40	7	39.2724	59.0294	61.0029	6.11969	1.20672	0.0545868
0	0	8	59	36	4	35.2086	58.7668	56.5926	6.76588	1.33961	0.402037
0	0	8	60	51	5	50.9077	61.2441	60	0.63826	0.0770667	0.0508271
0	0	8	61	41	7	44.2254	59.3477	61.3057	5.87393	1.17824	0.11351
0	0	8	62	46	5	45.2267	59.785	58.2845	4.52148	0.891524	0.303735
0	0	8	63	47	7	49.4919	61.3374	60.328	0.689551	0.0517345	0.131702
0	0	9	0	48	7	44.9889	59.4754	60.2506	4.9352	1.16473	0.0507595
0	0	9	1	55	7	52.8428	59.8023	57.0764	4.03976	0.966875	0.0506221
0	0	9	2	43	4	49.9205	60.2128	56.177	3.29762	0.75861	0.331001
0	0	9	3	42	5	39.5824	59.6602	59.6278	4.32372	1.04452	0.305736
0	0	9	4	46	4	45.4292	59.853	56.4884	4.22895	0.944638	0.351634
0	0	9	5	48	4	45.3394	60.1849	56.7527	3.18392	0.756496	0.224551
0	0	9	6	48	7	53.6421	60.3447	58.0638	2.86337	0.661932	0.0504351
0	0	9	7	50	5	52.5889	60.2192	58.3215	3.15655	0.720938	0.181221
0	0	9	8	50	4	52.1652	59.5519	58.9339	4.77874	1.10872	0.711576
0	0	9	9	43	6	48.2096	59.6473	61.2965	4.77845	0.964477	0.0513911
0	0	9	10	47	5	47.5975	59.302	59.4001	4.93958	1.18815	0.0841842
0	0	9	11	43	7	45.1583	60.0834	59.2258	3.14406	0.729092	0.0522162
0	0	9	12	49	4	55.4319	60.1765	56.3199	3.08286	0.746415	0.243391
0	0	9	13	50	7	50.6483	60.3704	58.1662	2.64516	0.630581	0.0634226
0	0	9	14	49	5	52.2959	59.9225	59.4844	3.96743	0.903928	0.0610121
0	0	9	15	47	7	44.3334	60.3279	58.0952	2.79168	0.66055	0.0547389
0	0	9	16	39	7	46.8653	59.0915	58.6503	5.94342	1.36779	0.120307
0	0	9	17	46	5	52.1763	61.3299	59.3292	0.721572	0.052593	0.0508281
0	0	9	18	48	4	51.266	59.0816	56.9876	5.69877	1.34186	0.538775
0	0	9	19	47	7	47.5454	61.2578	57.2387	0.666877	0.0974621	0.0526289
0	0	9	20	53	4	50.4132	61.3822	57.0695	0.582816	0.053264	0.0501877
0	0	9	21	54	4	55.4408	61.3576	57.0185	0.552893	0.0554176	0.143336
0	0	9	22	56	4	55.9185	61.1646	58.6866	0.471728	0.129686	0.163873
0	0	9	23	51	7	57.1144	61.3462	60.2377	0.501338	0.0504477	0.0549739
0	0	9	24	42	7	45.5478	58.5398	58.0704	7.423	1.66782	0.112669
0	0	9	25	41	7	45.0567	57.9361	59.0988	9.16361	2.08029	0.093385
0	0	9	26	40	7	43.4066	58.9511	58.4487	6.36109	1.48365	0.134199
0	0	9	27	55	4	53.2883	60.0374	57.4255	3.33555	0.774481	0.372291
0	0	9	28	42	3	38.9784	58.6868	54.1176	6.46684	1.5235	0.391625
0	0	9	29	41	7	43.7397	59.2059	59.1464	5.49998	1.30822	0.0513025
0	0	9	30	45	5	41.3127	59.0675	59.0068	6.4793	1.39998	0.244924
0	0	9	31	44	7	41.2057	58.445	60.1585	8.21743	1.82063	0.0796254
0	0	9	32	39	5	38.1076	57.1832	59.4401	11.0667	2.47392	0.82061
0	0	9	33	42	7	39.8283	59.4325	61.2455	5.1005	1.21765	0.0549392
0	0	9	34	46	7	43.6809	58.9299	58.1227	7.08537	1.53287	0.0504921
0	0	9	35	37	5	36.5285	57.6301	58.2848	10.6403	2.30094	0.624664
0	0	9	36	38	5	42.479	61.3924	59.1078	9.27246	0.0652287	0.791594
0	0	9	37	49	7	44.944	59.8404	57.3499	4.54345	1.00643	0.0514392
0	0	9	38	44	4	44.3517	59.3977	56.1021	4.73479	1.07174	0.34762
