# portID	slaveID	chipID	channelID	tacID	branch	t0	a0	a1	a2
0	0	8	0	0	T	6.2492423e-02	1.4052538e+02	1.6670647e+02	-1.0000001e-02
0	0	8	0	0	E	5.6067675e-02	1.4051450e+02	1.7396916e+02	-1.0000004e-02
0	0	8	0	1	T	6.2097602e-02	1.3059256e+02	1.6614731e+02	-1.0000006e-02
0	0	8	0	1	E	5.5968493e-02	1.3984981e+02	1.7287904e+02	-1.0000246e-02
0	0	8	0	2	T	6.2870078e-02	1.2938861e+02	1.6647754e+02	-1.0000010e-02
0	0	8	0	2	E	5.2520007e-02	1.3919595e+02	1.7325456e+02	-1.0000001e-02
0	0	8	0	3	T	5.7312064e-02	1.2822214e+02	1.6630113e+02	-1.0000135e-02
0	0	8	0	3	E	5.5907458e-02	1.3751767e+02	1.7306570e+02	-1.0000067e-02
0	0	8	1	0	T	6.2730841e-02	1.4478453e+02	1.6565822e+02	-1.0000001e-02
0	0	8	1	0	E	5.6441516e-02	1.3451239e+02	1.6887062e+02	-1.0000001e-02
0	0	8	1	1	T	6.3289694e-02	1.3392122e+02	1.6493956e+02	-1.0000003e-02
0	0	8	1	1	E	5.6632251e-02	1.3690659e+02	1.6936095e+02	-1.0000178e-02
0	0	8	1	2	T	6.1006598e-02	1.3338319e+02	1.6529146e+02	-1.0000044e-02
0	0	8	1	2	E	4.7576159e-02	1.3467351e+02	1.6950952e+02	-1.0000006e-02
0	0	8	1	3	T	6.0981803e-02	1.3268353e+02	1.6510039e+02	-1.0000001e-02
0	0	8	1	3	E	5.6578845e-02	1.3523770e+02	1.6943071e+02	-1.0000002e-02
0	0	8	2	0	T	4.8915915e-02	1.4189310e+02	1.7367883e+02	-1.0000002e-02
0	0	8	2	0	E	4.0923327e-02	1.2905299e+02	1.6084306e+02	-1.0000087e-02
0	0	8	2	1	T	6.1931662e-02	1.3149939e+02	1.7278563e+02	-1.0000004e-02
0	0	8	2	1	E	5.6319445e-02	1.2791068e+02	1.6189078e+02	-1.0000100e-02
0	0	8	2	2	T	4.9629264e-02	1.2886903e+02	1.7298698e+02	-1.0000045e-02
0	0	8	2	2	E	4.2861193e-02	1.2946312e+02	1.6146780e+02	-1.0000002e-02
0	0	8	2	3	T	5.1202826e-02	1.3027644e+02	1.7358177e+02	-1.0000026e-02
0	0	8	2	3	E	5.5312365e-02	1.3060060e+02	1.6135811e+02	-1.0000004e-02
0	0	8	3	0	T	5.5315070e-02	1.3760771e+02	1.6310460e+02	-9.9999998e-03
0	0	8	3	0	E	3.9626330e-02	1.3167966e+02	1.6361234e+02	-1.0000022e-02
0	0	8	3	1	T	6.2992148e-02	1.2887680e+02	1.6236951e+02	-1.0000004e-02
0	0	8	3	1	E	5.4389209e-02	1.2965627e+02	1.6427968e+02	-1.0000044e-02
0	0	8	3	2	T	5.3497367e-02	1.2406690e+02	1.6279430e+02	-1.0000009e-02
0	0	8	3	2	E	3.6185473e-02	1.3178323e+02	1.6384177e+02	-1.0000004e-02
0	0	8	3	3	T	2.8417639e-02	1.2081168e+02	1.6252133e+02	-1.0000001e-02
0	0	8	3	3	E	4.7614306e-02	1.2977136e+02	1.6389461e+02	-1.0000036e-02
0	0	8	4	0	T	6.2471442e-02	1.3564574e+02	1.6230286e+02	-1.0000020e-02
0	0	8	4	0	E	5.6746691e-02	1.3049236e+02	1.6252325e+02	-1.0000006e-02
0	0	8	4	1	T	6.2711768e-02	1.2193522e+02	1.6171013e+02	-1.0000005e-02
0	0	8	4	1	E	5.6815356e-02	1.3389432e+02	1.6195789e+02	-1.0000007e-02
0	0	8	4	2	T	5.8681540e-02	1.2280108e+02	1.6217517e+02	-1.0000001e-02
0	0	8	4	2	E	5.6647509e-02	1.3057523e+02	1.6286354e+02	-1.0000014e-02
0	0	8	4	3	T	5.1906638e-02	1.2229049e+02	1.6228706e+02	-9.9999998e-03
0	0	8	4	3	E	5.6655139e-02	1.2971239e+02	1.6197787e+02	-1.0000001e-02
0	0	8	5	0	T	4.3291144e-02	1.4215306e+02	1.6332195e+02	-1.0000033e-02
0	0	8	5	0	E	5.5060595e-02	1.4016368e+02	1.6842776e+02	-1.0000049e-02
0	0	8	5	1	T	6.1510138e-02	1.3089729e+02	1.6256764e+02	-1.0000026e-02
0	0	8	5	1	E	5.2275866e-02	1.3992186e+02	1.6883212e+02	-1.0000629e-02
0	0	8	5	2	T	6.2189154e-02	1.2874657e+02	1.6200020e+02	-1.0000066e-02
0	0	8	5	2	E	5.5762500e-02	1.3942693e+02	1.6853517e+02	-1.0000022e-02
0	0	8	5	3	T	6.2393241e-02	1.2822229e+02	1.6206679e+02	-1.0000009e-02
